country,iso3,year,ndgain_index,ndgain_vulnerability,ndgain_readiness,events,affected,deaths,damage_usd_nominal,damage_usd_2024
Brunei Darussalam,BRN,1995,50.6720220887736,0.428414004984376,0.441854446759847,,,,,
Brunei Darussalam,BRN,1996,50.7705395380301,0.427793977926785,0.443204768687386,,,,,
Brunei Darussalam,BRN,1997,50.3977646382322,0.427289177885634,0.435244470650279,,,,,
Brunei Darussalam,BRN,1998,49.9576697193481,0.428373012235901,0.427526406622864,,,,,
Brunei Darussalam,BRN,1999,50.1699925399455,0.428286829386615,0.431686680185526,,,,,
Brunei Darussalam,BRN,2000,50.3555336625046,0.427858079533164,0.434968752783255,,,,,
Brunei Darussalam,BRN,2001,50.6466598863916,0.424635328219521,0.437568525947354,,,,,
Brunei Darussalam,BRN,2002,51.0292792103528,0.416030883079804,0.436616467286859,,,,,
Brunei Darussalam,BRN,2003,51.262169172006,0.413675348622017,0.438918732062136,,,,,
Brunei Darussalam,BRN,2004,51.8671879277459,0.410942979737752,0.44828673829267,,,,,
Brunei Darussalam,BRN,2005,52.543630418752,0.408086947280071,0.45895955565511,,,,,
Brunei Darussalam,BRN,2006,55.7574418403898,0.410730413899653,0.525879250707449,,,,,
Brunei Darussalam,BRN,2007,51.9438562716999,0.404879810359357,0.443756935793355,,,,,
Brunei Darussalam,BRN,2008,52.0444580932387,0.408010777116585,0.448899938981359,,,,,
Brunei Darussalam,BRN,2009,53.301403122776,0.408275670613117,0.474303733068637,,,,,
Brunei Darussalam,BRN,2010,53.6420627456021,0.400418105095865,0.473259360007907,,,,,
Brunei Darussalam,BRN,2011,53.6019626786701,0.402053179229122,0.474092432802524,,,,,
Brunei Darussalam,BRN,2012,53.6882871040988,0.400868696443916,0.474634438525893,,,,,
Brunei Darussalam,BRN,2013,53.8510579990792,0.40594274461172,0.482963904593304,,,,,
Brunei Darussalam,BRN,2014,54.8156206168922,0.406826276603249,0.503138688941093,,,,,
Brunei Darussalam,BRN,2015,54.2165296031519,0.406091835403274,0.490422427466311,,,,,
Brunei Darussalam,BRN,2016,54.4651448571022,0.405472584276106,0.494775481418149,,,,,
Brunei Darussalam,BRN,2017,54.5613115277347,0.405002608737038,0.496228839291731,,,,,
Brunei Darussalam,BRN,2018,55.8477125194092,0.403219190153943,0.520173440542127,,,,,
Brunei Darussalam,BRN,2019,55.4152075993037,0.40364578832979,0.511949940315865,,,,,
Brunei Darussalam,BRN,2020,56.2632881536926,0.405449326038726,0.530715089112578,,,,,
Brunei Darussalam,BRN,2021,56.2053296242853,0.402644110903005,0.526750703388712,,,,,
Brunei Darussalam,BRN,2022,56.4955809751953,0.403435675348404,0.53334729485231,,,,,
Brunei Darussalam,BRN,2023,56.7054735287072,0.404039190127774,0.538148660701917,,,,,
Cambodia,KHM,1995,37.7463575960176,0.52750935323963,0.282436505159981,,,,,
Cambodia,KHM,1996,37.7538654587391,0.527578231487032,0.282655540661815,,,,,
Cambodia,KHM,1997,37.7302061598666,0.527693652992728,0.282297776190061,,,,,
Cambodia,KHM,1998,37.6851092627215,0.528578100938949,0.282280286193379,,,,,
Cambodia,KHM,1999,37.7257768920642,0.532457694906201,0.286973232747484,,,,,
Cambodia,KHM,2000,38.0613088143334,0.530449416316156,0.291675592602824,1,3448053,347,160000000.0,291464718
Cambodia,KHM,2001,37.8369237661015,0.534220309543108,0.290958784865137,2,1969182,56,15000000.0,26573799
Cambodia,KHM,2002,38.0687908913149,0.529078460306889,0.290454278133187,2,2120000,29,38100000.0,66443630
Cambodia,KHM,2003,38.1601490114801,0.525072527969855,0.288275508199457,,,,,
Cambodia,KHM,2004,38.0591765284183,0.527988912540331,0.289172443108698,1,0,0,0.0,0
Cambodia,KHM,2005,37.898226642443,0.520857076599179,0.278821609448038,2,600000,16,0.0,0
Cambodia,KHM,2006,37.3834934764891,0.521836886347989,0.269506755877772,2,38000,5,0.0,0
Cambodia,KHM,2007,36.908685768602,0.532780484451551,0.270954199823591,1,19000,2,1000000.0,1512903
Cambodia,KHM,2008,37.9883819964623,0.516885585400532,0.276653225329777,,,,,
Cambodia,KHM,2009,37.8883173946036,0.518689900422193,0.276456248314264,2,178091,19,0.0,0
Cambodia,KHM,2010,37.9229538777688,0.514246408905555,0.272705486460931,1,0,8,70000000.0,100700164
Cambodia,KHM,2011,38.448059347656,0.507040756544008,0.276001943497127,1,1640023,247,521000000.0,726560507
Cambodia,KHM,2012,38.8492056171656,0.5107649617967,0.287749074140011,1,71500,14,0.0,0
Cambodia,KHM,2013,38.8001045519362,0.504030925163036,0.280033016201759,1,1500000,200,500000000.0,673276182
Cambodia,KHM,2014,39.1487221243664,0.50302593312229,0.286000375609617,1,530450,45,2000000.0,2650114
Cambodia,KHM,2015,39.0272747933566,0.499517580481561,0.280063076348693,2,28300,0,0.0,0
Cambodia,KHM,2016,40.0826604458997,0.490135645212902,0.291788854130895,1,2500000,0,0.0,0
Cambodia,KHM,2017,40.2952469886267,0.481736498247165,0.287641438019699,,,,,
Cambodia,KHM,2018,40.2221740330995,0.481936611886619,0.286380092548609,1,5817,0,0.0,0
Cambodia,KHM,2019,40.2921537228734,0.481777382470174,0.287620456927642,1,435000,12,0.0,0
Cambodia,KHM,2020,40.0372873306982,0.482008048986107,0.282753795600071,2,759360,44,100000000.0,121203771
Cambodia,KHM,2021,39.8939751547652,0.488526510657537,0.28640601375284,4,13726,1,0.0,0
Cambodia,KHM,2022,40.3628405440365,0.480517970603396,0.287774781484125,2,167770,31,0.0,0
Cambodia,KHM,2023,40.5493575362487,0.480602948477485,0.291590099202459,1,14100,0,0.0,0
Cambodia,KHM,2024,,,,1,0,0,0.0,0
Cambodia,KHM,2025,,,,1,67000,0,0.0,0
Indonesia,IDN,1995,42.6183944106631,0.49215156596441,0.344519454177671,,,,,
Indonesia,IDN,1996,42.4962451755489,0.494724446381736,0.344649349892714,,,,,
Indonesia,IDN,1997,42.3785037056662,0.487637883397912,0.335207957511235,,,,,
Indonesia,IDN,1998,41.7773678918319,0.489192702791898,0.324740060628536,,,,,
Indonesia,IDN,1999,41.9500140481475,0.48961350584643,0.32861378680938,,,,,
Indonesia,IDN,2000,42.4229728424957,0.481927436978279,0.330386893828193,13,802730,539,240600000.0,438290071
Indonesia,IDN,2001,42.2602126287862,0.48013536296895,0.325339615544674,9,122116,587,20000000.0,35431732
Indonesia,IDN,2002,42.1042712271402,0.478667325654648,0.320752750197452,14,608620,273,351600000.0,613164836
Indonesia,IDN,2003,41.7017175861509,0.479535262718489,0.313569614441507,16,688005,534,4961000.0,8459583
Indonesia,IDN,2004,41.8587741433693,0.481749714238726,0.318925197106113,17,739012,165946,4583100000.0,7611405965
Indonesia,IDN,2005,43.2881516024036,0.479714819986965,0.345477852035037,9,152797,1238,5000000.0,8031293
Indonesia,IDN,2006,47.2620621407781,0.478047079338978,0.423288322154539,18,3937403,7421,3314243000.0,5157164323
Indonesia,IDN,2007,47.8843950039531,0.477476964717817,0.43516486479688,16,1224945,576,1671000000.0,2528060452
Indonesia,IDN,2008,48.4175686614093,0.475633761949312,0.443985135177497,16,487497,141,1733000.0,2524926
Indonesia,IDN,2009,48.4787264104904,0.475952971923142,0.445527500132951,12,2877208,1485,2381430000.0,3482048254
Indonesia,IDN,2010,49.6894330049949,0.473221196441619,0.467009856541518,12,225272,1294,78000000.0,112208754
Indonesia,IDN,2011,49.9269400281105,0.473695962813809,0.472234763376019,12,28336,129,5850000.0,8158117
Indonesia,IDN,2012,50.4624890722801,0.472696771065414,0.481946552511016,13,52075,107,1000000.0,1366277
Indonesia,IDN,2013,50.893595198911,0.471728934269788,0.489600838248009,16,680194,173,3136000000.0,4222788215
Indonesia,IDN,2014,43.8693749945212,0.470074682161165,0.347462182051588,10,542287,243,1114000000.0,1476113418
Indonesia,IDN,2015,43.8505937179336,0.467663143358327,0.344675017717,12,489380,84,1235000000.0,1634506445
Indonesia,IDN,2016,44.1149312252008,0.468394871479568,0.350693495983585,15,482609,271,233000000.0,304530514
Indonesia,IDN,2017,45.2555852767247,0.465266357459931,0.370378062994425,12,534836,99,34000000.0,43511088
Indonesia,IDN,2018,45.8977782209325,0.461336872108663,0.379292436527313,15,2925625,5310,2604000000.0,3252983303
Indonesia,IDN,2019,47.1187197656166,0.435415077187076,0.377789472499408,19,1221941,466,1318000000.0,1617171775
Indonesia,IDN,2020,47.6142724339758,0.433889961873767,0.386175410553284,29,909980,210,29300000.0,35512705
Indonesia,IDN,2021,48.0498214739602,0.430499652006534,0.391496081485739,28,1579212,511,928700000.0,1075112510
Indonesia,IDN,2022,48.2008161671347,0.428976800368501,0.392993123711194,20,2607555,404,136000000.0,145774770
Indonesia,IDN,2023,48.3823456887259,0.43048235737393,0.398129271148448,15,18911788,96,0.0,0
Indonesia,IDN,2024,,,,20,802390,290,90000000.0,90000000
Indonesia,IDN,2025,,,,20,3355637,1273,4000000000.0,0
Indonesia,IDN,2026,,,,6,23756,109,20000000.0,0
Lao PDR,LAO,1995,38.1907637736002,0.540624189710998,0.304439465183003,,,,,
Lao PDR,LAO,1996,38.3347571965621,0.538122900160159,0.3048180440914,,,,,
Lao PDR,LAO,1997,38.208052770342,0.5367038712309,0.300864926637741,,,,,
Lao PDR,LAO,1998,38.0732858642333,0.535857011828049,0.297322729112715,,,,,
Lao PDR,LAO,1999,37.9364148350927,0.534495960655557,0.293224257357411,,,,,
Lao PDR,LAO,2000,37.8203137057787,0.532734526670757,0.28914080078633,1,450000,15,1000000.0,1821654
Lao PDR,LAO,2001,37.7296039421849,0.538671599190222,0.293263678033919,1,453000,0,0.0,0
Lao PDR,LAO,2002,38.3698810414762,0.530312662116839,0.297710282946364,1,150000,2,0.0,0
Lao PDR,LAO,2003,37.3686943335718,0.525658684986679,0.273032571658115,,,,,
Lao PDR,LAO,2004,37.5914433350135,0.527364367551588,0.279193234251857,,,,,
Lao PDR,LAO,2005,37.6113420389746,0.519726331169697,0.271953171949189,,,,,
Lao PDR,LAO,2006,37.177920913406,0.52661317336885,0.27017159163697,,,,,
Lao PDR,LAO,2007,37.7491660883299,0.522620039443777,0.277603361210375,,,,,
Lao PDR,LAO,2008,38.6375702887336,0.514208167896771,0.286959573671442,1,204190,6,0.0,0
Lao PDR,LAO,2009,38.6752778897064,0.510679091289113,0.284184649083241,2,128887,26,100000000.0,146216696
Lao PDR,LAO,2010,38.5397902921976,0.497905554435069,0.268701360279021,,,,,
Lao PDR,LAO,2011,38.8790386923217,0.498496614062914,0.276077387909347,2,467000,48,0.0,0
Lao PDR,LAO,2012,39.8209068996138,0.49146790991162,0.287886047903896,,,,,
Lao PDR,LAO,2013,40.4497692349049,0.483314212076886,0.292309596774984,2,574253,23,121000000.0,162932836
Lao PDR,LAO,2014,40.9247371381405,0.479550193400066,0.298044936162876,1,750,0,0.0,0
Lao PDR,LAO,2015,40.7646026588388,0.480034054839762,0.295326108016537,2,47940,4,10000000.0,13234870
Lao PDR,LAO,2016,41.3649070549708,0.483311196951384,0.3106093380508,1,26328,5,50000.0,65350
Lao PDR,LAO,2017,42.0012353789055,0.475303598023207,0.315328305601317,1,0,0,0.0,0
Lao PDR,LAO,2018,42.8050536775955,0.4679531275581,0.324054201110009,3,748245,136,225000000.0,281075746
Lao PDR,LAO,2019,42.4709754068554,0.475082580577553,0.324502088714662,2,507500,19,0.0,0
Lao PDR,LAO,2020,42.7875138191002,0.473526589103988,0.329276865485993,2,70764,2,0.0,0
Lao PDR,LAO,2021,42.514746403393,0.483833846603549,0.334128774671409,2,26000,0,120000.0,138918
Lao PDR,LAO,2022,42.5056776738017,0.484150488709366,0.3342640421854,1,42552,1,0.0,0
Lao PDR,LAO,2023,42.4996424860974,0.485779677784065,0.335772527506012,1,110129,7,7719000.0,7946673
Lao PDR,LAO,2024,,,,4,312289,13,307261000.0,307261000
Lao PDR,LAO,2025,,,,2,182134,15,13060000.0,0
Malaysia,MYS,1995,49.6817208388933,0.400976688707151,0.394611105485017,,,,,
Malaysia,MYS,1996,49.8337650943239,0.401528391751664,0.398203693638143,,,,,
Malaysia,MYS,1997,49.5978737253599,0.400427359324264,0.392384833831462,,,,,
Malaysia,MYS,1998,49.4729967100866,0.400669678659713,0.390129612861444,,,,,
Malaysia,MYS,1999,49.6150074893709,0.400054710378045,0.392354860165463,,,,,
Malaysia,MYS,2000,49.8650960244556,0.399015748129945,0.396317668619056,2,8500,12,1000000.0,1821654
Malaysia,MYS,2001,50.372925662043,0.397768737566039,0.405227250806899,4,33200,11,0.0,0
Malaysia,MYS,2002,50.917217170879,0.396713753138164,0.415058096555744,2,155,12,0.0,0
Malaysia,MYS,2003,51.3828060038633,0.395590886659911,0.423247006737177,3,18800,8,0.0,0
Malaysia,MYS,2004,51.529630272228,0.394800007831878,0.425392613276437,6,77101,97,510000000.0,846985019
Malaysia,MYS,2005,51.1071409425623,0.392930049557538,0.415072868408784,3,30600,13,0.0,0
Malaysia,MYS,2006,51.5823703834001,0.391827375209912,0.423474782877914,4,106518,6,22000000.0,34233342
Malaysia,MYS,2007,51.2555575500153,0.393867399818965,0.418978550819271,2,166533,46,968000000.0,1464489836
Malaysia,MYS,2008,51.1701477591542,0.388868724238608,0.412271679421692,2,8000,0,0.0,0
Malaysia,MYS,2009,51.8950688333363,0.386934654572847,0.424836031239573,2,10875,0,0.0,0
Malaysia,MYS,2010,53.306478667122,0.384271245629017,0.450400818971458,,,,,
Malaysia,MYS,2011,53.3697450447613,0.383472354958682,0.450867255853908,2,20006,18,0.0,0
Malaysia,MYS,2012,54.8539214160723,0.381913355522797,0.478991783844243,,,,,
Malaysia,MYS,2013,55.6932704678297,0.380429451434245,0.49429486079084,1,75000,4,2000000.0,2693105
Malaysia,MYS,2014,57.2507087342416,0.37996270267978,0.524976877364613,2,2430000,17,284000000.0,376316167
Malaysia,MYS,2015,57.2964272619768,0.379698054809333,0.52562660004887,2,3010,25,2000.0,2647
Malaysia,MYS,2016,55.87946051635,0.383006491575098,0.500595701902098,4,31841,0,132000000.0,172523725
Malaysia,MYS,2017,55.2838024325926,0.381047159262423,0.486723207914276,4,22407,9,0.0,0
Malaysia,MYS,2018,55.6549390259005,0.380606429654715,0.493705210172725,2,16900,2,0.0,0
Malaysia,MYS,2019,56.4271340517279,0.374089712791532,0.502632393826089,4,22477,2,0.0,0
Malaysia,MYS,2020,56.6910312204738,0.369015610428239,0.502836234837715,5,21883,0,6800000.0,8241856
Malaysia,MYS,2021,56.6959423239134,0.366450810684965,0.500369657163233,8,164641,79,1460000000.0,1690173645
Malaysia,MYS,2022,56.8166348940824,0.367072400706851,0.5034050985885,6,90719,50,240000.0,257250
Malaysia,MYS,2023,56.9345275458025,0.366926701483168,0.505617252399218,4,84187,6,0.0,0
Malaysia,MYS,2025,,,,7,52314,21,0.0,0
Myanmar,MMR,1995,35.0572724445736,0.537432864569341,0.238578313460814,,,,,
Myanmar,MMR,1996,35.1230501437233,0.536697427962092,0.239158430836557,,,,,
Myanmar,MMR,1997,35.1084122716356,0.537110055675811,0.239278301108523,,,,,
Myanmar,MMR,1998,35.1977290453798,0.535433418831822,0.239387999739419,,,,,
Myanmar,MMR,1999,35.1649017520838,0.534824772445235,0.238122807486912,,,,,
Myanmar,MMR,2000,35.1991728925657,0.532874901783573,0.236858359634888,,,,,
Myanmar,MMR,2001,35.2965090545143,0.532134635007224,0.23806481609751,1,3750,51,0.0,0
Myanmar,MMR,2002,35.3878260794781,0.529963900535736,0.237720422125298,1,50000,21,0.0,0
Myanmar,MMR,2003,35.3644683044757,0.531429847304512,0.238719213394026,,,,,
